Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Locus_per_language$Locus.ATTR.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.ATTR.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.ATTR.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.ATTR.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.ben,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.ben.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.ben.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.if.Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.if.Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.default.if.Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.rec,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.rec.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.B.rec.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.G.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.G.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.G.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.I.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.I.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.I.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Pat,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Pat.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.Pat.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.1PERS,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.1PERS.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.1PERS.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N_or_Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N_or_Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N_or_Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.alien,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.alien.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.alien.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.inal,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.inal.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.inal.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.kin,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.kin.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.N.kin.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.POSS.default.if.Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.N_or_Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.N_or_Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.N_or_Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.SAP,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.SAP.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.S.default.if.SAP.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.def,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.def.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.def.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.emp,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.emp.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.T.emp.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.def,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.def.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.def.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.elsewhere,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.elsewhere.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.elsewhere.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.1PERS,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.1PERS.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.1PERS.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.N,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.N.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.N.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.Pro,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.Pro.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.Pro.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.SAP,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.SAP.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.default.if.SAP.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.emp,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.emp.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.emp.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.ref,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.ref.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.ref.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.stim,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.stim.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$Locus.U.stim.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusA,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusA.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusA.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusA.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusA.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusAandP.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusAandP.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusAorP.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusAorP.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusARG.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusARG.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusP,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusP.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusP.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusP.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusP.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusPOSS,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusPOSS.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusPOSS.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusPOSS.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusPOSS.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusS,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusS.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusS.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusS.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusS.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusSandA.dm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_language$LocusSandA.hm.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_macrorelation$LocusMacrorelations,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_macrorelation$LocusMacrorelations.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_macrorelation$LocusMacrorelationsRelation.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_microrelation$LocusMicrorelations,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_microrelation$LocusMicrorelations.binned5,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Locus_per_microrelation$LocusMicrorelations.binned6,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorCase.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorCase.spreading.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNeg,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNeg.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNeg.spreading.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNounPlural,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNounPlural.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorNounPlural.spreading.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorTense.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$BehaviorTense.spreading.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityCase,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityCase.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityNegation,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityNegation.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityNounPlural,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityNounPlural.n,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Markers_per_language$ExponentialityTense,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
