Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
autotyp$Clause_word_order$PositionVBasicLex.binned.v2,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVBasicLex.binned.v3,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVBasicLex.binned.v4,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVSecondaryLex.binned.v1,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVSecondaryLex.binned.v2,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVSecondaryLex.binned.v3,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$PositionVSecondaryLex.binned.v4,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$VFinalLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$VFinalOrFreeLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$VInitialLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$VMedialLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPVBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPVLexFlexible,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAPVSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAVBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderAVSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderPVBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderPVSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderSVBasicLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clause_word_order$WordOrderSVSecondaryLex,Grammar,Syntax,Grammar,Syntax,SyntaxOrder,SyntaxOrder,SyntaxOrder,
autotyp$Clusivity$InclExclAny.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Clusivity$InclExclAsMinAug.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Clusivity$InclExclAsPerson.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Clusivity$InclExclType,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Gender$Gender.binned4,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Gender$Gender.n,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$Gender$Gender.Presence,Grammar,Categories,Grammar,Categories,Categories,Categories,Categories,
autotyp$GR_per_language$CoArgSensitivityAgr.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$GR_per_language$CoArgSensitivityCase.Presence,Grammar,Syntax,Grammar,Syntax,Syntax,Syntax,Syntax,
autotyp$GR_per_language$VAgreement.Presence.v1,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Behavior,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Behavior.binned4,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Behavior.spreading.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Coexponence.CaseNumber.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Coexponence.CaseReference.Presence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
autotyp$Grammatical_markers$Exponence,Grammar,Morphology,Grammar,Morphology,Morphology,Morphology,Morphology,
